1.4893617020e+00	1.4893617020e+00	1.6826654464e+00	1.3709486026e+00	
1.4893617020e+00	1.4893617030e+00	1.5658180352e+00	1.4795619934e+00	1.3241999617e+00	
1.4893617030e+00	1.4893617020e+00	1.3820265009e+00	1.0290549758e+00	
1.4893617020e+00	1.4893617020e+00	1.5490140352e+00	1.0148140060e+00	1.3185540534e+00	
1.4893617020e+00	1.4893617020e+00	1.2319834568e+00	1.3049398078e+00	9.3098014813e-01	
1.4893617020e+00	1.4893617020e+00	1.6143842412e+00	1.1966771163e+00	
1.4893617020e+00	1.4893617020e+00	1.7089540610e+00	1.8970406510e+00	
1.4893617020e+00	1.4893617020e+00	1.5457995087e+00	1.7954976204e+00	
1.4893617020e+00	1.4893617020e+00	1.3951865108e+00	1.4476480717e+00	
1.4893617020e+00	1.4893617030e+00	1.5609231733e+00	1.4376902779e+00	
1.4893617030e+00	1.4893617020e+00	1.3082116442e+00	1.5748890206e+00	
1.4893617020e+00	1.4893617020e+00	1.5030321620e+00	1.5527378626e+00	1.3974008739e+00	
1.4893617020e+00	1.4893617020e+00	1.1278332760e+00	1.1914106191e+00	
1.4893617020e+00	1.4893617020e+00	1.3969041288e+00	1.1892616371e+00	
1.4893617020e+00	1.4893617020e+00	1.7467523300e+00	1.7302425972e+00	1.3033506025e+00	
1.4893617020e+00	1.4893617020e+00	1.2397088404e+00	1.4444799987e+00	
1.4893617020e+00	1.4893617020e+00	1.1751321519e+00	1.6105441249e+00	
1.4893617020e+00	1.4893617030e+00	1.6664307179e+00	1.1695712876e+00	
1.4893617030e+00	1.4893617020e+00	1.3869468067e+00	1.2712296718e+00	
1.4893617020e+00	1.4893617020e+00	1.6611385679e+00	1.3158294038e+00	
1.4893617020e+00	1.4893617020e+00	1.5246448688e+00	1.6486441726e+00	1.6372571105e+00	
1.4893617020e+00	1.4893617020e+00	1.4222792886e+00	1.3477339138e+00	
1.4893617020e+00	1.4893617020e+00	1.5436986182e+00	1.3401328181e+00	
1.4893617020e+00	1.4893617020e+00	1.5351570026e+00	1.1451945836e+00	
1.4893617020e+00	1.4893617020e+00	1.2954673486e+00	1.1715197207e+00	1.3953621939e+00	
1.4893617020e+00	1.4893617030e+00	1.3974380192e+00	1.4770492492e+00	1.2583009078e+00	
1.4893617030e+00	1.4893617020e+00	1.0567550780e+00	1.4951717745e+00	
1.4893617020e+00	1.4893617020e+00	1.1151158855e+00	1.3511097785e+00	
1.4893617020e+00	1.4893617020e+00	1.1543892715e+00	1.1294509488e+00	
1.4893617020e+00	1.4893617020e+00	1.2051461875e+00	1.5137125965e+00	1.2009381864e+00	
1.4893617020e+00	1.4893617022e+00	1.3144315021e+00	1.0620513161e+00	
1.4893617022e+00	1.4893617022e+00	1.5587492211e+00	1.4228773544e+00	1.1082532917e+00	
1.4893617022e+00	1.4893617021e+00	1.5890543634e+00	1.2734385637e+00	
1.4893617021e+00	1.4893617021e+00	1.5187160711e+00	1.3069430648e+00	
1.4893617021e+00	1.4893617021e+00	1.3282719959e+00	1.5991427246e+00	1.0482865195e+00	
1.4893617021e+00	1.4893617022e+00	1.3886495376e+00	1.3355091225e+00	
1.4893617021e+00	1.4893617022e+00	1.0463293906e+00	1.1921919402e+00	
1.4705882353e+00	1.4705882353e+00	1.1038483171e+00	1.2310186390e+00	
1.4705882353e+00	1.4705882353e+00	1.5166152865e+00	1.4610413153e+00	1.3005441188e+00	
1.4705882353e+00	1.4705882353e+00	9.7332053391e-01	1.1753683842e+00	
1.4705882353e+00	1.4705882353e+00	1.5959245287e+00	1.3212657455e+00	
1.4705882353e+00	1.4705882353e+00	1.6678953155e+00	1.1589756997e+00	
1.4705882353e+00	1.4705882352e+00	1.2451908307e+00	1.3619752162e+00	
1.4705882352e+00	1.4705882350e+00	1.5893570527e+00	1.2718112062e+00	
1.4705882350e+00	1.4705882360e+00	1.3526415041e+00	1.4635366145e+00	
1.4705882360e+00	1.4705882350e+00	1.4126426122e+00	1.6115696589e+00	1.1014094394e+00	
1.4705882350e+00	1.4705882350e+00	1.5572689419e+00	1.3327047425e+00	
1.4705882350e+00	1.4705882360e+00	1.4919903091e+00	1.1569127483e+00	
1.4705882360e+00	1.4705882350e+00	1.2901144562e+00	1.5003512481e+00	
1.4705882350e+00	1.4705882350e+00	1.7474029857e+00	1.8598369706e+00	1.5071073844e+00	
1.4705882350e+00	1.4705882350e+00	1.5825266916e+00	1.0893136935e+00	
1.4705882350e+00	1.4705882360e+00	1.3783259669e+00	1.4061546529e+00	
1.4705882350e+00	1.4705882360e+00	1.0467900706e+00	1.2112113347e+00	
1.5100449676e+00	1.4413214576e+00	1.4269357577e+00	1.3376612118e+00	1.3652925741e+00	1.3659405266e+00	
1.4098427807e+00	1.4697715277e+00	1.3895572329e+00	1.3973440557e+00	1.3260482356e+00	1.1188121929e+00	
1.3132567378e+00	1.1520252521e+00	1.2925588516e+00	9.5871833574e-01	1.0192636011e+00	9.4584955016e-01	
1.3928964760e+00	1.2625757897e+00	1.4147458877e+00	1.1710595798e+00	9.6948385592e-01	9.7719761837e-01	
1.1441523402e+00	1.0045115563e+00	1.1444367567e+00	1.1431716977e+00	1.0785594163e+00	1.0289546757e+00	
1.5221354606e+00	1.6054717507e+00	1.4874083461e+00	1.2400760498e+00	1.6128968804e+00	1.3754977585e+00	1.4711545407e+00	
1.1062276714e+00	1.0588233983e+00	9.6465241498e-01	1.0891707621e+00	1.1636549766e+00	1.1555112632e+00	
1.1976629426e+00	1.1911148938e+00	1.1365617500e+00	1.1839627892e+00	1.2148162071e+00	1.1538172845e+00	
1.2932422956e+00	1.0463293906e+00	1.1038483171e+00	1.0682725696e+00	1.1358400848e+00	
1.2977119283e+00	1.1224047690e+00	1.0300284179e+00	1.2264118520e+00	8.3613253996e-01	
1.2965900119e+00	1.1052118004e+00	1.0467900706e+00	1.0718871484e+00	1.1357278061e+00	
1.3335401017e+00	1.0934351754e+00	1.0768526322e+00	1.2289050659e+00	1.1111558093e+00	
1.3703018620e+00	1.2279957731e+00	1.1164720289e+00	1.1858183793e+00	9.1919490282e-01	
1.0879875298e+00	9.7120903615e-01	8.0773458909e-01	1.0002512219e+00	9.7045476994e-01	
1.3534107871e+00	1.3822831519e+00	1.3747490466e+00	1.0886434970e+00	1.0048803826e+00	1.0285137472e+00	
1.5474744231e+00	1.5403586740e+00	1.5673899476e+00	1.6686609753e+00	1.4688592304e+00	1.5008274772e+00	1.4691450931e+00	
1.4595136474e+00	1.3249367941e+00	1.3623170396e+00	1.4330931447e+00	1.0860329892e+00	1.1194703093e+00	
1.5115707960e+00	1.4510857982e+00	1.3587181536e+00	1.3582626196e+00	1.3328245465e+00	1.1853470572e+00	1.1961128913e+00	
1.5438888995e+00	1.5198516200e+00	1.5350005278e+00	1.3593604299e+00	1.0882455245e+00	1.2202296378e+00	
1.5216946957e+00	1.4954071728e+00	1.4400989172e+00	1.5505122074e+00	1.3999369861e+00	1.0394408775e+00	1.1895614429e+00	
1.4386005382e+00	1.3474736235e+00	1.2973244525e+00	1.5151304172e+00	1.3541706513e+00	9.1444847612e-01	1.2405609751e+00	
1.2701912595e+00	1.3211831651e+00	1.0699083896e+00	1.4711680658e+00	9.0977224617e-01	1.1259944849e+00	1.0610890359e+00	
1.3357199856e+00	1.2903480917e+00	1.3535202653e+00	1.0878880457e+00	1.1395228771e+00	9.0485506324e-01	1.1753863732e+00	
9.6681656778e-01	1.1211142756e+00	8.3327178549e-01	1.2229464356e+00	9.8422918017e-01	
1.5509700371e+00	1.5052245335e+00	1.4318653241e+00	1.2549875340e+00	1.4732227544e+00	1.1115450725e+00	
1.4406776011e+00	1.5163012024e+00	1.0182727758e+00	1.0288246981e+00	1.2195317476e+00	1.2406574474e+00	
1.4474851655e+00	1.3310273586e+00	1.4373952240e+00	1.0137238553e+00	1.1115568419e+00	1.2044606947e+00	
1.6997093684e+00	1.3165939802e+00	1.3158877959e+00	1.4115773166e+00	1.5453326177e+00	1.2514481047e+00	1.3656325983e+00	
1.3275197275e+00	1.3225305245e+00	1.5231716990e+00	1.0818414800e+00	1.3674203255e+00	1.4743942474e+00	
1.5808774139e+00	1.1985179470e+00	1.3218581298e+00	1.5475045756e+00	1.3280325620e+00	1.1856202217e+00	1.2689665717e+00	
1.2029513607e+00	1.3133085241e+00	1.4762386604e+00	1.4738694297e+00	1.0674351956e+00	1.2174380522e+00	
1.2524153296e+00	1.2018333706e+00	1.4684991362e+00	1.1583732054e+00	1.2345191116e+00	1.1413185719e+00	
1.2621859019e+00	1.2040305090e+00	1.4570586588e+00	1.1993763469e+00	1.2765132606e+00	1.1985794866e+00	
1.3635283964e+00	1.6919828781e+00	1.5368594101e+00	1.5022457514e+00	1.5396609592e+00	1.1331488952e+00	1.4062857171e+00	
1.2075404172e+00	1.3025217989e+00	1.3282036261e+00	1.2050813717e+00	1.1955988591e+00	9.9362127311e-01	
1.3961322024e+00	1.4727382632e+00	1.2909530428e+00	1.2279825960e+00	1.3412523249e+00	1.3539817358e+00	
1.3416271038e+00	1.3215433761e+00	1.3856697215e+00	1.4001237952e+00	1.2692259272e+00	1.0024749986e+00	
1.3294893865e+00	1.2845323416e+00	1.1622980355e+00	1.3259023214e+00	9.9275958999e-01	9.8817600798e-01	
1.4083747018e+00	1.1020005499e+00	1.4002820346e+00	1.3250507981e+00	1.2102643934e+00	1.1097609698e+00	
1.3963070215e+00	1.3549822899e+00	1.2157714663e+00	1.1405529431e+00	1.3136193034e+00	1.0376139207e+00	
1.6815033633e+00	1.5690985281e+00	1.5864686816e+00	1.5935760001e+00	1.5454739870e+00	1.5234607494e+00	1.3459289670e+00	
1.2180379298e+00	1.2889507397e+00	1.1287151105e+00	1.1591617703e+00	9.7589099200e-01	1.1351035997e+00	
1.1827468741e+00	1.4662854327e+00	1.0669889831e+00	1.1393570191e+00	1.1181460443e+00	1.2136271101e+00	
1.7476410033e+00	1.5904567917e+00	1.2695859203e+00	1.7093405349e+00	1.3959703525e+00	1.3672605060e+00	1.1454011900e+00	
1.6014502698e+00	1.4434634502e+00	1.4295439484e+00	1.1740035080e+00	1.3640848146e+00	1.1253281967e+00	
1.4179976265e+00	1.3157362554e+00	1.4059274320e+00	1.2026000421e+00	1.2539323983e+00	1.1402140253e+00	
1.4922461029e+00	1.4898077598e+00	1.3003659804e+00	1.1217912937e+00	1.0250496577e+00	1.0534926661e+00	
1.3971402315e+00	1.2511082285e+00	1.0831428452e+00	1.1216049017e+00	1.3779434467e+00	1.3664452174e+00	
1.3961971604e+00	1.2157394882e+00	1.3430412624e+00	1.2721406698e+00	1.1217452923e+00	1.0958173527e+00	
1.5786347876e+00	1.2438811220e+00	1.2734419426e+00	1.3521795712e+00	1.3061600927e+00	1.0358132497e+00	1.1657714568e+00	
1.2983717785e+00	1.3084328060e+00	1.3558237734e+00	1.2373830812e+00	8.6913920561e-01	1.2006519687e+00	
1.5658973108e+00	1.4815998350e+00	1.3946268854e+00	1.4849262276e+00	1.4012323796e+00	1.1131275793e+00	
1.2163463834e+00	1.1967316166e+00	1.1837153189e+00	1.0756360545e+00	1.1924182681e+00	7.6973587070e-01	
1.3135631067e+00	1.1863315799e+00	1.1507810941e+00	1.4230621275e+00	1.2829095797e+00	1.2119350280e+00	
1.3525930284e+00	1.4394386647e+00	1.2394468304e+00	1.1206386949e+00	1.1533114118e+00	1.0921680607e+00	
1.6384151586e+00	1.5942808923e+00	1.4107155100e+00	1.3060874225e+00	1.1745565819e+00	1.2413994155e+00	1.2629580235e+00	
1.5522322433e+00	1.5312986169e+00	1.6716869959e+00	1.5451763395e+00	1.1613708439e+00	1.2762241109e+00	
1.5805847457e+00	1.1432536149e+00	1.1430640353e+00	1.1815670730e+00	1.2347965807e+00	1.0463376189e+00	
1.6996868869e+00	1.3163940704e+00	1.6186774150e+00	1.7011734052e+00	1.4489591018e+00	1.5870009466e+00	1.6134264660e+00	
1.4410483719e+00	1.3335648915e+00	1.5437573983e+00	1.2737773404e+00	1.4669387677e+00	1.2175325395e+00	1.1395975930e+00	
1.3604914773e+00	8.1190101819e-01	1.1139025664e+00	1.1729635532e+00	9.1582714239e-01	
1.2906291383e+00	9.0855278999e-01	1.4412315637e+00	1.1951757672e+00	1.1980635559e+00	
