1.4893617021e+00 	1.4893617021e+00 	1.4112077385e+00 	1.4188667582e+00 	1.5338480166e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5359073207e+00 	1.5901612681e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5505859593e+00 	1.6655024325e+00 	1.6755304519e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1724869512e+00 	1.0801208616e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5486083039e+00 	1.0524210392e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6663216017e+00 	1.2331733480e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5206735889e+00 	1.3179896192e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6826654465e+00 	1.3709486026e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5658180351e+00 	1.4795619934e+00 	1.3241999615e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3820265011e+00 	1.0290549755e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5490140351e+00 	1.0148140064e+00 	1.3185540534e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2319834568e+00 	1.3049398081e+00 	9.3098014790e-01 	
1.4893617021e+00 	1.4893617021e+00 	1.6143842413e+00 	1.1966771161e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.7089540609e+00 	1.8970406508e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5457995088e+00 	1.7954976206e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3951865108e+00 	1.4476480716e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5609231733e+00 	1.4376902780e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3082116444e+00 	1.5748890204e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5030321620e+00 	1.5527378630e+00 	1.3974008739e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1278332762e+00 	1.1914106190e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3969041289e+00 	1.1892616370e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.7467523297e+00 	1.7302425970e+00 	1.3033506025e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2397088402e+00 	1.4444799989e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1751321521e+00 	1.6105441247e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6664307181e+00 	1.1695712873e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3869468067e+00 	1.2712296716e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6611385679e+00 	1.3158294039e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5246448688e+00 	1.6486441724e+00 	1.6372571105e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4222792888e+00 	1.3477339138e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5436986181e+00 	1.3401328180e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5351570027e+00 	1.1451945835e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2954673487e+00 	1.1715197203e+00 	1.3953621941e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3974380190e+00 	1.4770492492e+00 	1.2583009082e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.0567550777e+00 	1.4951717744e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1151158859e+00 	1.3511097786e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1543892712e+00 	1.1294509487e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2051461872e+00 	1.5137125967e+00 	1.2009381864e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3144315021e+00 	1.0620513164e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5587492211e+00 	1.4228773543e+00 	1.1082532918e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5890543634e+00 	1.2734385636e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5187160711e+00 	1.3069430648e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3282719960e+00 	1.5991427246e+00 	1.0482865195e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3886495376e+00 	1.3355091225e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.0463293906e+00 	1.1921919402e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.1038483171e+00 	1.2310186390e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.5166152866e+00 	1.4610413153e+00 	1.3005441188e+00 	
1.4705882353e+00 	1.4705882353e+00 	9.7332053388e-01 	1.1753683842e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.5959245287e+00 	1.3212657455e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.6678953156e+00 	1.1589756997e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.2451908307e+00 	1.3619752162e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.5893570527e+00 	1.2718112063e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.3526415039e+00 	1.4635366146e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.4126426123e+00 	1.6115696590e+00 	1.1014094395e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.5572689417e+00 	1.3327047426e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.4919903093e+00 	1.1569127479e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.2901144562e+00 	1.5003512484e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.7474029858e+00 	1.8598369702e+00 	1.5071073847e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.5825266915e+00 	1.0893136934e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.3783259664e+00 	1.4061546530e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.0467900709e+00 	1.2112113347e+00 	
1.5100449674e+00 	1.4413214568e+00 	1.4269357582e+00 	1.3376612115e+00 	1.3652925741e+00 	1.3659405267e+00 	
1.4098427815e+00 	1.4697715275e+00 	1.3895572336e+00 	1.3973440555e+00 	1.3260482348e+00 	1.1188121926e+00 	
1.3132567382e+00 	1.1520252521e+00 	1.2925588515e+00 	9.5871833536e-01 	1.0192636013e+00 	9.4584954954e-01 	
1.3928964759e+00 	1.2625757891e+00 	1.4147458871e+00 	1.1710595789e+00 	9.6948385603e-01 	9.7719761925e-01 	
1.1441523399e+00 	1.0045115565e+00 	1.1444367570e+00 	1.1431716982e+00 	1.0785594161e+00 	1.0289546750e+00 	
1.5221354609e+00 	1.6054717516e+00 	1.4874083463e+00 	1.2400760503e+00 	1.6128968795e+00 	1.3754977577e+00 	1.4711545406e+00 	
1.1062276714e+00 	1.0588233982e+00 	9.6465241482e-01 	1.0891707620e+00 	1.1636549768e+00 	1.1555112632e+00 	
1.1976629426e+00 	1.1911148939e+00 	1.1365617500e+00 	1.1839627892e+00 	1.2148162072e+00 	1.1538172845e+00 	
1.2932422956e+00 	1.0463293906e+00 	1.1038483171e+00 	1.0682725696e+00 	1.1358400848e+00 	
1.2977119283e+00 	1.1224047694e+00 	1.0300284177e+00 	1.2264118524e+00 	8.3613254020e-01 	
1.2965900117e+00 	1.1052118001e+00 	1.0467900709e+00 	1.0718871485e+00 	1.1357278068e+00 	
1.3335401014e+00 	1.0934351750e+00 	1.0768526324e+00 	1.2289050663e+00 	1.1111558093e+00 	
1.3703018628e+00 	1.2279957731e+00 	1.1164720285e+00 	1.1858183788e+00 	9.1919490345e-01 	
1.0879875302e+00 	9.7120903635e-01 	8.0773458942e-01 	1.0002512214e+00 	9.7045476968e-01 	
1.3534107876e+00 	1.3822831516e+00 	1.3747490467e+00 	1.0886434973e+00 	1.0048803826e+00 	1.0285137466e+00 	
1.5474744234e+00 	1.5403586739e+00 	1.5673899474e+00 	1.6686609755e+00 	1.4688592305e+00 	1.5008274771e+00 	1.4691450930e+00 	
1.4595136475e+00 	1.3249367945e+00 	1.3623170394e+00 	1.4330931449e+00 	1.0860329890e+00 	1.1194703095e+00 	
1.5115707960e+00 	1.4510857981e+00 	1.3587181540e+00 	1.3582626188e+00 	1.3328245465e+00 	1.1853470570e+00 	1.1961128914e+00 	
