-1.4217529332e+01	2.8577644055e+01	-3.2947709590e+00	-8.6792770077e-01	-9.7728429786e-01	-2.1193253917e-01	1.0000000028e+00	2.7307608170e-01	3.1820939828e-02	-1.4678909036e-01	2.9869825212e-01	-8.8935425109e-02
5.8359649678e+01	5.6074077402e+00	-5.5726125266e+00	-2.7926558444e+00	-8.9071634893e-01	-4.5455955138e-01	1.0000000003e+00	8.4463704935e-02	-2.0802783629e-02	4.0761067092e-02	5.4429540727e-02	7.9156572341e-02
5.4462313648e+01	-1.9224700962e+01	-2.9051288387e+00	-4.6188851412e+00	-5.2591051503e-01	-8.5053990511e-01	1.0000000002e+00	1.3624112960e-01	-3.5656893753e-02	2.2046533635e-02	3.5991319932e-02	1.3792655293e-01
-2.1852758347e+01	3.3844045008e+00	-3.7056794884e+00	-5.0985942299e-02	-9.9984744293e-01	-1.7466850226e-02	1.0000000000e+00	2.5293302467e-01	-2.4068162792e-04	1.3771804696e-02	2.5265372589e-01	1.8191489627e-02
-1.2687193452e+01	2.8229699832e+01	-3.2546488684e+00	-1.7983442918e+00	-9.2897380002e-01	-3.7014548340e-01	1.0000000272e+00	2.5406508654e-01	1.7267609475e-01	-4.3366870027e-01	4.0871784556e-01	-3.3968274347e-01
-1.1092135606e+01	2.7625690564e+01	-3.1414956500e+00	-4.1806836288e+00	-7.0440815971e-01	-7.0979514265e-01	1.0000000643e+00	1.5466217139e-01	5.0870390967e-01	-5.0520519127e-01	6.1768855082e-01	-3.9546579428e-01
-9.4505515782e+00	2.6781303588e+01	-3.2568791182e+00	-4.8478258460e+00	-5.5607808236e-01	-8.3113005380e-01	1.0000000000e+00	1.1064981409e-01	-9.2696155048e-03	6.2018787505e-03	5.2259808090e-02	9.8166607812e-02
-7.8455504184e+00	2.5924045452e+01	-3.7914912605e+00	-4.4554821885e+00	-6.3419202431e-01	-7.7317557922e-01	1.0000000014e+00	1.1004013921e-01	-8.2089840593e-02	6.7326345776e-02	-1.2307778444e-02	1.5241039856e-01
-6.3167239520e+00	2.5130705660e+01	-4.0688237323e+00	-3.9721253437e+00	-7.1289879474e-01	-7.0126693096e-01	1.0000000001e+00	1.2092137004e-01	-1.5196460758e-02	1.5448188544e-02	7.1007319417e-02	1.0024728061e-01
-4.8288949271e+00	2.4342615340e+01	-4.2437965629e+00	-3.3629108365e+00	-7.8937517738e-01	-6.1391109238e-01	1.0000000003e+00	1.3903501931e-01	3.0337504110e-02	-3.9010361714e-02	1.4009040616e-01	4.6342066989e-02
